x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.059953]}	1666681674.820292
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.683432]}	1666681682.828297
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.06063]}	1666681906.960255
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.753157]}	1666681915.736793
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.058124]}	1666684114.243573
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.73534]}	1666684122.859349
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.060864]}	1666684133.915801
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.797071]}	1666684143.139265
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.060504]}	1666684162.574400
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.793894]}	1666684171.772291
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.058395]}	1666684181.134394
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.629178]}	1666684188.599213
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.060392]}	1666684199.685712
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.665508]}	1666684207.513165
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.058757]}	1666684214.993626
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.637416]}	1666684222.534269
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.062503]}	1666684226.988479
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.762638]}	1666684235.939381
x86_64	cpu	network	resnet_50.B1	pytorch	mkldnn	{'costs': [0.062606]}	1666684244.828167
x86_64	cpu	network	resnet_50.B16	pytorch	mkldnn	{'costs': [0.753942]}	1666684253.607483
